"Operational State","Connection State","Rate","Name","Protection","From Node #1","From Port #1","To Node #1","To Port #1","From Node #2","From Port #2","To Node #2","To Port #2","PM 15M","PM 24H","Connection Type","Deploy Type","Category","Alarm Status","Server Alarm Status","Service State","OLC State","Implementation Status","Allow ASON Resources","ASAP","Alias","Alias 2","Order Number","Customer","Group Order Name","Created Date","Enable NIM","Latest Note","NPA Name","Channel Width","Actual Latency - WORK (microsec)","Actual Latency - PROTECT(microsec)","Latency Status","Latency Timestamp","Reservation","Reservation Expiry Date","Test Status","BER Measurement Result","TCM Enabled","TCM ASAP Enabled","Wave Key","NML ASAP","From NE #1","To NE #1","ASE Control Mode","Order ID"
"Up","Commissioned","1GbE","KZN_DNE_PS64_01-03-12-10_KZN_RV_PS36_01-02-12-06_1G_1","SNC-N Server Protected","KZN-DNE-PSS-1","GBE-1-3-12-10","KZN-RV-PSS-1","GBE-1-2-12-6","","","","","Not Enabled","Started","Path","Add","Managed Plane","Cleared","Minor","Automatic In Service","In Service","Completed","No","Not Set","MTN Bitstream_FTTx_Protection_SO026110_Link2","A61209","A61209","","g-KZN_DNE_PS64_01-03-12-10_KZN_RV_PS36_01-02-12-06_1G_1","Fri Aug 20 2021 00:01:28 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT COMPUTED","Invalid Date","N/A","","None","","None","None","N/A","default ASAP","KZN-DNE-PSS-1#OCS","KZN-RV-PSS-1#OCS","NA","207968"
"Up","Commissioned","STM-16","NGA_PPQ-2_PS24x_01-11-06-05_NGA_PSI-2_PS64_01-01-07-02_STM16_1","Unprotected","NGA-PPQ-2","20AN80-11-6-5","NGA-PSI-2","STM16-1-1-7-2","","","","","Started","Started","Path","Add","Managed Plane","Minor","Cleared","In Service","In Service","Completed","No","Not Set","TID261007_NGA-PSI 6350-3 TO PPQ 6350-3 STM16/1 A7253 (VIA ALU)","A61213","A61213","","g-NGA_PPQ-2_PS24x_01-11-06-05_NGA_PSI-2_PS64_01-01-07-02_STM16_1","Fri Aug 20 2021 00:05:23 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","DMF","","N/A","","None","","None","None","N/A","default ASAP","NGA-PPQ-2","NGA-PSI-2#OCS","NA","208023"
"Up","Commissioned","STM-16","NGA_PPQ-2_PS24x_01-12-06-09_NGA_PSI-2_PS64_01-01-46-01_STM16_1","Unprotected","NGA-PPQ-2","20AN80-12-6-9","NGA-PSI-2","STM16-1-1-46-1","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","Automatic In Service","In Service","Completed","No","Not Set","NGA_PPQ-2_PS24x_01-12-06-09_NGA_PSI-2_PS64_01-01-46-01_STM16_1","A61216","A61216","","g-NGA_PPQ-2_PS24x_01-12-06-09_NGA_PSI-2_PS64_01-01-46-01_STM16_1","Fri Aug 20 2021 00:08:50 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","DMF","","N/A","","None","","None","None","N/A","default ASAP","NGA-PPQ-2","NGA-PSI-2#OCS","NA","208037"
"Up","Commissioned","STM-16","NGA_PPQ-2_PS24x_01-12-06-11_NGA_PSI-2_PS64_01-01-46-02_STM16_1","Unprotected","NGA-PPQ-2","20AN80-12-6-11","NGA-PSI-2","STM16-1-1-46-2","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","TID261027_NGA-PSI 6350-4 TO PPQ 6350-4 STM16/1 A7261  (VIA ALU)","A61225","A61225","","g-NGA_PPQ-2_PS24x_01-12-06-11_NGA_PSI-2_PS64_01-01-46-02_STM16_1","Fri Aug 20 2021 00:22:17 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","DMF","","N/A","","None","","None","None","N/A","default ASAP","NGA-PPQ-2","NGA-PSI-2#OCS","NA","208062"
"Up","Commissioned","STM-16","NGA_PPQ-2_PS24x_01-12-06-13_NGA_PSI-2_PS64_01-01-46-03_STM16_1","Unprotected","NGA-PPQ-2","20AN80-12-6-13","NGA-PSI-2","STM16-1-1-46-3","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","Automatic In Service","In Service","Completed","No","Not Set","NGA_PPQ-2_PS24x_01-12-06-13_NGA_PSI-2_PS64_01-01-46-03_STM16_1","A61229","A61229","","g-NGA_PPQ-2_PS24x_01-12-06-13_NGA_PSI-2_PS64_01-01-46-03_STM16_1","Fri Aug 20 2021 00:24:35 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","DMF","","N/A","","None","","None","None","N/A","default ASAP","NGA-PPQ-2","NGA-PSI-2#OCS","NA","208076"
"Up","Commissioned","STM-16","NGA_PPQ-2_PS24x_01-12-06-15_NGA_PSI-2_PS64_01-01-46-04_STM16_1","Unprotected","NGA-PPQ-2","20AN80-12-6-15","NGA-PSI-2","STM16-1-1-46-4","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","TID261005_NGA-PSI 6350-4 TO PPQ 6350-4 STM16/2 A7269 (VIA ALU)","A61234","A61234","","g-NGA_PPQ-2_PS24x_01-12-06-15_NGA_PSI-2_PS64_01-01-46-04_STM16_1","Fri Aug 20 2021 00:26:28 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","DMF","","N/A","","None","","None","None","N/A","default ASAP","NGA-PPQ-2","NGA-PSI-2#OCS","NA","208090"
"Up","Commissioned","10GbE","NLD5_SW_PS36_01-01-20-01_WES_CTE_PS64_01-01-11-03_10G_1","SNC-N Server Protected","NLD5-SW-1","GBE10-1-1-20-1","WES-CTE-1","GBE10-1-1-11-3","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","TID:901722_WES_CTE 8665-2POC2_Swellendam_8660-1_10G_1_IP/MPLS","A61295","A61295","","g-NLD5_SW_PS36_01-01-20-01_WES_CTE_PS64_01-01-11-03_10G_1","Fri Aug 20 2021 17:01:56 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","DMF","","N/A","","None","","None","None","N/A","default ASAP","NLD5-SW-1#OCS","WES-CTE-1#OCS","NA","208240"
"Up","Commissioned","10GbE","SGC-MTA-2_PS24X_01-12-01-12_SGS-JFL-2_PS24X_01-12-01-12_10GE","SNC-N Server Protected","SGC-MTA-2","30AN300-12-1-12","SGS-JFL-2","30AN300-12-1-12","","","","","Not Enabled","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","VB_FTTX_Metro_Fibre_Networks_Link2_MFN","A61389","A61389","","g-SGC-MTA-2_PS24X_01-12-01-12_SGS-JFL-2_PS24X_01-12-01-12_10GE","Mon Aug 23 2021 12:07:18 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOTAVAILABLE","","N/A","","None","","None","None","N/A","default ASAP","SGC-MTA-2","SGS-JFL-2","NA","208476"
"Up","Commissioned","STM-16","NGA_PRO-2_PS64_01-01-07-03_NGA_PSI-2_PS64_01-01-07-03_STM16_1","Unprotected","NGA-PRO-2","STM16-1-1-7-3","NGA-PSI-2","STM16-1-1-7-3","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","TID9602_NGA-PSI 6350-1 TO PRO 6350-1 STM16/1 A7954 (VIA ALU)","A61446","A61446","","g-NGA_PRO-2_PS64_01-01-07-03_NGA_PSI-2_PS64_01-01-07-03_STM16_1","Mon Aug 23 2021 23:22:27 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT COMPUTED","Invalid Date","N/A","","None","","None","None","N/A","default ASAP","NGA-PRO-2#OCS","NGA-PSI-2#OCS","NA","208589"
"Up","Commissioned","STM-16","NGA_PRO-2_PS64_01-01-07-04_NGA_PSI-2_PS64_01-01-07-04_STM16_1","Unprotected","NGA-PRO-2","STM16-1-1-7-4","NGA-PSI-2","STM16-1-1-7-4","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","TID260888_NGA-PSI 6350-3 TO PRO 6350-3 STM16/1 A7958  (VIA ALU)","A61449","A61449","","g-NGA_PRO-2_PS64_01-01-07-04_NGA_PSI-2_PS64_01-01-07-04_STM16_1","Mon Aug 23 2021 23:24:40 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT COMPUTED","Invalid Date","N/A","","None","","None","None","N/A","default ASAP","NGA-PRO-2#OCS","NGA-PSI-2#OCS","NA","208601"
"Up","Commissioned","STM-16","NGA_PRO-2_PS64_01-01-07-05_NGA_PSI-2_PS64_01-01-07-05_STM16_1","Unprotected","NGA-PRO-2","STM16-1-1-7-5","NGA-PSI-2","STM16-1-1-7-5","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","Out Of Service","In Service","Completed","No","Not Set","TID260891_NGA-PSI 6350-3 TO PRO 6350-3 STM16/2 A4270  (VIA ALU)","A61455","A61455","","g-NGA_PRO-2_PS64_01-01-07-05_NGA_PSI-2_PS64_01-01-07-05_STM16_1","Mon Aug 23 2021 23:27:45 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT COMPUTED","Invalid Date","N/A","","None","","None","None","N/A","default ASAP","NGA-PRO-2#OCS","NGA-PSI-2#OCS","NA","208617"
"Up","Commissioned","STM-16","NGA_PRO-2_PS64_01-01-07-01_NGA_PCE-1_PS36_01-01-12-12_STM16_1","Unprotected","NGA-PRO-2","STM16-1-1-7-1","NGA-PCE-1","STM16-1-1-12-12","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","TID254974_NGA-CEN 6350-1 TO PRO 6350-1 STM16/1 A7173 (VIA ALU)","A61458","A61458","","g-NGA_PRO-2_PS64_01-01-07-01_NGA_PCE-1_PS36_01-01-12-12_STM16_1","Mon Aug 23 2021 23:31:43 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT COMPUTED","Invalid Date","N/A","","None","","None","None","N/A","default ASAP","NGA-PRO-2#OCS","NGA-PCE-1#OCS","NA","208625"
"Up","Commissioned","STM-16","NGA_PRO-2_PS64_01-01-07-06_NGA_PCE-1_PS36_01-01-12-14_STM16_1","SNC-N Server Protected","NGA-PRO-2","STM16-1-1-7-6","NGA-PCE-1","STM16-1-1-12-14","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","TID260826_NGA-CEN 6350-1 TO PRO 6350-1 STM16/2 A7177 (VIA ALU)","A61461","A61461","","g-NGA_PRO-2_PS64_01-01-07-06_NGA_PCE-1_PS36_01-01-12-14_STM16_1","Mon Aug 23 2021 23:41:34 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT COMPUTED","Invalid Date","N/A","","None","","None","None","N/A","default ASAP","NGA-PRO-2#OCS","NGA-PCE-1#OCS","NA","208633"
