"Operational State","Connection State","Rate","Name","Protection","From Node #1","From Port #1","To Node #1","To Port #1","From Node #2","From Port #2","To Node #2","To Port #2","Alarm Status","Server Alarm Status","Service State","OLC State","Implementation Status","PM 15M","PM 24H","Connection Type","Deploy Type","Category","Allow ASON Resources","ASAP","Frequency","TCM Enabled","TCM ASAP Enabled","Wave Key","Alias","Alias 2","Order Number","Customer","Group Order Name","Created By","Created Date","Frequency Band","OMSP Connection Name","Enable NIM","% Low Utilization Threshold","% High Utilization Threshold","% Utilization","Latest Note","NPA Name","Channel Width","Grid Type","Line Mode Profile","Scheduled Jobs","Line Mode Profile Description","Reversion Control Group","NML ASAP","From NE #1","To NE #1","5G Tributary Size","ASE Control Mode","Utilization Profile","Timeslots Count","Order ID"
"Up","Commissioned","ODU4","Core_KZN_DTA-2_PS24x_01-11-18-L3_1-08-AD10_KZN_RB-2_PS36x_01-01-03-L1_2-08-AD1_100G_9360","Unprotected","KZN-DTA-2","OTUODU4-11-18-3","KZN-RB-2","OTUODU4-1-1-3-1","","","","","Cleared","Minor","In Service","In Service","Completed","Not Enabled","Not Enabled","Logical Link","Add","Control Plane","No","Not Set","N/A","None","None","Keyed","Core_KZN_DTA-2_PS24x_01-11-18-L3_1-08-AD10_KZN_RB-2_PS36x_01-01-03-L1_2-08-AD1_100G_9360","","A79944","","g-Core_KZN_DTA-2_PS24x_01-11-18-L3_1-08-AD10_KZN_RB-2_PS36x_01-01-03-L1_2-08-AD1_100G_9360","User","Thu Sep 29 2022 15:09:24 GMT+0200 (South Africa Standard Time)","","","N/A","50","80","45","","BBNS","50.0","","","","","","default ASAP","KZN-DTA-2","KZN-RB-2#OCS","N/A","ASE Disabled","DEFAULT","0","301764"
"Up","Commissioned","ODU4","Core_KZN_DTA-2_PS24x_01-11-19-L3_1-08-AD10_NLD6_SC-2_PS36x_01-01-02-L1_2-08-AD1_100G_9360","Unprotected","KZN-DTA-2","OTUODU4-11-19-3","NLD6-SC-2","OTUODU4-1-1-2-1","","","","","Cleared","Minor","In Service","In Service","Completed","Not Enabled","Not Enabled","Logical Link","Add","Control Plane","No","Not Set","N/A","None","None","Keyed","Core_KZN_DTA-2_PS24x_01-11-19-L3_1-08-AD10_NLD6_SC-2_PS36x_01-01-02-L1_2-08-AD1_100G_9360","","A79960","","g-Core_KZN_DTA-2_PS24x_01-11-19-L3_1-08-AD10_NLD6_SC-2_PS36x_01-01-02-L1_2-08-AD1_100G_9360","User","Thu Sep 29 2022 15:54:04 GMT+0200 (South Africa Standard Time)","","","N/A","50","80","51.25","","BBNS","50.0","","","","","","default ASAP","KZN-DTA-2","NLD6-SC-2#OCS","N/A","ASE Disabled","DEFAULT","0","301896"
"Up","Commissioned","ODU4","Core_SGC_MTA_PS32_01-01-15-L1_SGC_KM_PS32_01-03-16-L1_100G-9235","Unprotected","SGC-KM-1","130SCX10-3-16-L1-1","SGC-MTA-1","130SCX10-1-15-L1-1","","","","","Cleared","Minor","In Service","In Service","Completed","Not Enabled","Not Enabled","Logical Link","Add","Control Plane","No","Not Set","N/A","None","None","Keyed","Core_SGC_MTA_PS32_01-01-15-L1_SGC_KM_PS32_01-03-16-L1_100G-9235","","A79989","","g-Core_SGC_MTA_PS32_01-01-15-L1_SGC_KM_PS32_01-03-16-L1_100G-9235","User","Fri Sep 30 2022 17:17:36 GMT+0200 (South Africa Standard Time)","","","N/A","50","80","0","","BBNS","50.0","","","","","","default ASAP","SGC-KM-1","SGC-MTA-1","N/A","ASE Disabled","DEFAULT","0","301983"
"Up","Commissioned","ODU4","Core_NGA_PRO-2_PS24x_01-12-22-L1_2-11-AD2_DFA_SEC_PS36_01-02-05-L1_SFD-26_100G_9460","Unprotected","NGA-PRO-2","OTUODU4-12-22-1","DFA-SEC-1","OTUODU4-1-2-5-1","","","","","Minor","Minor","In Service","In Service","Completed","Not Enabled","Not Enabled","Logical Link","Add","Control Plane","No","Not Set","N/A","None","None","Keyed","Core_NGA_PRO-2_PS24x_01-12-22-L1_2-11-AD2_DFA_SEC_PS36_01-02-05-L1_SFD-26_100G_9460","","A80046","","g-Core_NGA_PRO-2_PS24x_01-12-22-L1_2-11-AD2_DFA_SEC_PS36_01-02-05-L1_SFD-26_100G_9460","User","Tue Oct 04 2022 08:43:54 GMT+0200 (South Africa Standard Time)","","","N/A","50","80","70","","BBNS","50.0","","","","","","default ASAP","NGA-PRO-2","DFA-SEC-1#OCS","N/A","ASE Disabled","DEFAULT","0","302100"
"Up","Commissioned","ODU4","Core_NLD6_UM_PS36_01-01-08-L1_SFD-26_NLD6_KK_PS36_01-01-03-L1_SFD-28_100G-9420","Unprotected","NLD6-UM-1","OTUODU4-1-1-8-1","NLD6-KK-1","OTUODU4-1-1-3-1","","","","","Cleared","Minor","In Service","In Service","Completed","Not Enabled","Not Enabled","Logical Link","Add","Control Plane","No","Not Set","N/A","None","None","Keyed","Core_NLD6_UM_PS36_01-01-08-L1_SFD-26_NLD6_KK_PS36_01-01-03-L1_SFD-28_100G-9420","","A80076","","g-Core_NLD6_UM_PS36_01-01-08-L1_SFD-26_NLD6_KK_PS36_01-01-03-L1_SFD-28_100G-9420","User","Tue Oct 04 2022 15:12:29 GMT+0200 (South Africa Standard Time)","","","N/A","50","80","10","","BBNS","50.0","","","","","","default ASAP","NLD6-UM-1#OCS","NLD6-KK-1#OCS","N/A","ASE Disabled","DEFAULT","0","302239"
"Up","Commissioned","ODU4","Core_NLD6_PS_PS36_01-01-04-L1_SFD-28_NLD6_KK_PS36_01-01-02-L1_SFD-26_100G-9420","Unprotected","NLD6-PS-1","OTUODU4-1-1-4-1","NLD6-KK-1","OTUODU4-1-1-2-1","","","","","Cleared","Minor","In Service","In Service","Completed","Not Enabled","Not Enabled","Logical Link","Add","Control Plane","No","Not Set","N/A","None","None","Keyed","Core_NLD6_PS_PS36_01-01-04-L1_SFD-28_NLD6_KK_PS36_01-01-02-L1_SFD-26_100G-9420","","A80138","","g-Core_NLD6_PS_PS36_01-01-04-L1_SFD-28_NLD6_KK_PS36_01-01-02-L1_SFD-26_100G-9420","User","Wed Oct 05 2022 12:53:20 GMT+0200 (South Africa Standard Time)","","","N/A","50","80","10","","BBNS","50.0","","","","","","default ASAP","NLD6-PS-1#OCS","NLD6-KK-1#OCS","N/A","ASE Disabled","DEFAULT","0","302378"
"Up","Commissioned","ODU4","Core_NLD6_SC_PS36_01-01-04-L1_MSC-1-8-AD2_NLD6_PS_PS36_01-01-03-L1_SFD-26_100G-9420","Unprotected","NLD6-SC-2","OTUODU4-1-1-4-1","NLD6-PS-1","OTUODU4-1-1-3-1","","","","","Cleared","Minor","In Service","In Service","Completed","Not Enabled","Not Enabled","Logical Link","Add","Control Plane","No","Not Set","N/A","None","None","Keyed","Core_NLD6_SC_PS36_01-01-04-L1_MSC-1-8-AD2_NLD6_PS_PS36_01-01-03-L1_SFD-26_100G-9420","","A80143","","g-Core_NLD6_SC_PS36_01-01-04-L1_MSC-1-8-AD2_NLD6_PS_PS36_01-01-03-L1_SFD-26_100G-9420","User","Wed Oct 05 2022 13:01:43 GMT+0200 (South Africa Standard Time)","","","N/A","50","80","20","","BBNS","50.0","","","","","","default ASAP","NLD6-SC-2#OCS","NLD6-PS-1#OCS","N/A","ASE Disabled","DEFAULT","0","302408"
"Up","Commissioned","ODU4","Core_SGC_JGE-2_PS24x_01-11-18-L3_MCS_1-8_SGC_MTA-2_PS24x_01-11-06-L3_MCS_3-16_100G_9395","Unprotected","SGC-JGE-2","OTUODU4-11-18-3","SGC-MTA-2","OTUODU4-11-6-3","","","","","Cleared","Minor","In Service","In Service","Completed","Not Enabled","Not Enabled","Logical Link","Add","Control Plane","No","Not Set","N/A","None","None","Keyed","Core_SGC_JGE-2_PS24x_01-11-18-L3_MCS_1-8_SGC_MTA-2_PS24x_01-11-06-L3_MCS_3-16_100G_9395","","A80389","","g-Core_SGC_JGE-2_PS24x_01-11-18-L3_MCS_1-8_SGC_MTA-2_PS24x_01-11-06-L3_MCS_3-16_100G_9395","User","Thu Oct 13 2022 08:16:01 GMT+0200 (South Africa Standard Time)","","","N/A","50","80","91.25","","BBNS","50.0","","","","","","default ASAP","SGC-JGE-2","SGC-MTA-2","N/A","ASE Disabled","DEFAULT","0","302952"
"Up","Commissioned","ODU4","Core_SGC_JGE-2_PS24x_01-12-18-L2_MCS_1-8_SGC_MTA-2_PS24x_01-12-06-L2_MCS_3-16_100G_9405","Unprotected","SGC-JGE-2","OTUODU4-12-18-2","SGC-MTA-2","OTUODU4-12-6-2","","","","","Minor","Minor","In Service","In Service","Completed","Not Enabled","Not Enabled","Logical Link","Add","Control Plane","No","Not Set","N/A","None","None","Keyed","Core_SGC_JGE-2_PS24x_01-12-18-L2_MCS_1-8_SGC_MTA-2_PS24x_01-12-06-L2_MCS_3-16_100G_9405","","A80394","","g-Core_SGC_JGE-2_PS24x_01-12-18-L2_MCS_1-8_SGC_MTA-2_PS24x_01-12-06-L2_MCS_3-16_100G_9405","User","Thu Oct 13 2022 08:34:07 GMT+0200 (South Africa Standard Time)","","","N/A","50","80","70","","BBNS","50.0","","","","","","default ASAP","SGC-JGE-2","SGC-MTA-2","N/A","ASE Disabled","DEFAULT","0","302994"
"Up","Commissioned","ODU4","Core_SGC_JGE-2_PS24x_01-11-24-L2_MCS_2-8_SGC_MDP-2_PS24x_01-11-18-L4_MCS_1-8_100G_9390","Unprotected","SGC-JGE-2","OTUODU4-11-24-2","SGC-MDP-2","OTUODU4-11-18-4","","","","","Cleared","Minor","In Service","In Service","Completed","Not Enabled","Not Enabled","Logical Link","Add","Control Plane","No","Not Set","N/A","None","None","Keyed","Core_SGC_JGE-2_PS24x_01-11-24-L2_MCS_2-8_SGC_MDP-2_PS24x_01-11-18-L4_MCS_1-8_100G_9390","","A80400","","g-Core_SGC_JGE-2_PS24x_01-11-24-L2_MCS_2-8_SGC_MDP-2_PS24x_01-11-18-L4_MCS_1-8_100G_9390","User","Thu Oct 13 2022 09:09:00 GMT+0200 (South Africa Standard Time)","","","N/A","50","80","91.25","","BBNS","50.0","","","","","","default ASAP","SGC-JGE-2","SGC-MDP-2","N/A","ASE Disabled","DEFAULT","0","303039"
